away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
1,5,1,23.8620249873,20.7603706281,1.5961856,1.7797569165,4,94.1176470588,-0.4,7,8,1,22.2574841312,21.4160280223,0.4918530051,-0.2086656,3,52.9411764706,0,0,3,Sesi,Minas,2,2011
5,4,1,23.1633281411,21.3110970952,-0.3056896,0.6291576517,4,64.7058823529,0.6,3,3,0,23.896727779,21.2457331038,1.4521837724,2.1341056,3,82.3529411765,0,1,3,Pinheiros,Sada Cruzeiro,2,2011
8,10,0,22.133855316,22.7555067699,-0.2825472,-0.4138065676,4,47.0588235294,0.2,2,1,1,24.3404314436,20.128062689,2.2577665695,1.164130816,6,88.2352941176,0,1,4,Volei Futuro,Cimed,2,2011
10,12,0,22.147967959,23.0920002042,-0.5799708672,-0.2980474833,5,43.75,-0.2,14,12,0,20.5127437147,24.5831617215,-2.4939608756,-2.03761152,7,6.25,0,1,4,Sao Bernardo,Santo Andre,2,2011
12,6,1,21.4710645107,22.925196726,-1.72228352,-0.255180115,5,31.25,0.2,4,2,1,23.6388400602,21.2013077495,1.3523456772,1.43114752,4,75,0,1,4,Fatima UCS,America Volei,2,2011
9,9,1,22.5455075417,21.8112960919,-0.9256832,0.1327658221,4,41.1764705882,-0.6,13,11,0,22.2726143229,24.7018103006,-1.4464663092,-1.27914752,5,25,0,0,4,Medley,Blumenau,2,2011
15,9,0,20.5977967388,24.0779251745,-1.751970816,-1.8804914155,5,0,0.2,6,14,0,21.727386969,22.6428507306,0.1118982251,0.41045248,4,56.25,0,1,4,Ulbra Sao Caetano,Londrina,2,2011
1,5,1,23.9896199899,21.0082965025,1.67694848,1.8238055332,2,94.4444444444,-0.2,3,3,1,24.0173822232,21.096586483,1.5617470179,2.10728448,2,83.3333333333,0,0,5,Sesi,Sada Cruzeiro,2,2011
15,9,0,20.678237391,24.2623401396,-2.0015766528,-2.1043931324,1,0,0.4,14,12,1,21.1101949718,24.2665293772,-1.5951687004,-1.230089216,1,11.7647058824,0,0,5,Ulbra Sao Caetano,Santo Andre,2,2011
9,10,0,21.9070842528,23.2044054159,-0.82603776,-0.9310452541,2,44.4444444444,-0.6,13,11,0,22.284758125,25.0947815739,-1.7571730474,-1.623318016,2,23.5294117647,0,0,6,Volei Futuro,Blumenau,2,2011
