,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,result,Date,away_team,home_team,month,year
28,7,1,0,19.9864790502654,20.40960225565,-0.078169870481721,0.093329421642843,7,40,0,9,8,1,19.5381333333333,20.3882666666667,-0.4432,-1.08,7,25,0,1,22,RJX,Maringa,12,2013
29,6,8,0,19.5099959645581,20.9595647102282,-1.17752674108167,-0.590928822797297,7,60,0,3,3,1,20.3050666666667,19.3261226666667,0.82848,0.76,2,80,0,1,22,Sao Bernardo,Brasil Volei Clube,12,2013
30,12,12,0,18.816794168763,21.156084525171,-1.73724389376,-1.6637394202222,7,0,0.52,3,3,1,20.5264709861726,20.5027223736916,0.65303801044056,-0.057530279459294,4,80,0,1,23,Funvic,Sesi,12,2013
31,11,10,0,19.6475649590535,21.8915052191959,-2.176675254889,-2.16603751056794,7,0,0.68,1,3,1,20.6211767889381,19.6021778989533,1.12243040835245,0.553975776432565,6,83.3333333333333,0,1,29,JF Volei,Sesi,12,2013
32,10,12,0,19.5368904339905,20.5726110208893,-1.27729666742805,-0.681694916503815,7,25,0.6,7,1,0,19.6691832402123,19.96768180452,-0.125336462685725,1.02158946352825,7,33.3333333333333,0,1,29,America Volei,RJX,12,2013
33,4,2,0,21.429173682917,18.7581522288457,1.58021002627162,1.32394038430573,7,75,-0.6,12,12,0,18.2534353350104,21.1248676201368,-1.93099153617776,-1.204787712,6,0,0,1,29,Sada Cruzeiro,Funvic,12,2013
34,8,8,1,19.2705066666667,19.9906133333333,0.28,-0.15456,7,40,0,3,6,1,19.8225792347113,18.8611296903037,0.564960616538902,0.217013768192,7,83.3333333333333,0,1,29,Maringa,Canoas,12,2013
35,5,5,0,20.6961170120965,20.4229189053339,-0.682905352805962,0.21085244977285,7,60,-1.81216,7,8,0,19.4579967716465,20.8176517681826,-0.872743058237838,0.192387564577381,7,50,0,0,29,Minas,Sao Bernardo,12,2013
36,3,3,1,20.2940533333333,19.3108981333333,0.232,1.062784,7,83.3333333333333,0,9,7,0,19.7550028885281,19.9650255762691,-0.535957042583514,-0.155188669706403,7,40,0,1,30,Brasil Volei Clube,Volta Redonda,12,2013
37,8,7,1,20.4040023108225,19.9720204610153,-0.812940178129174,0.171234365933189,7,50,-0.06496,4,5,1,21.0902269430105,20.2716684576004,0.76868195981828,0.914157356052342,7,66.6666666666667,0,1,8,Volta Redonda,Minas,1,2014
38,10,12,1,18.5227482680083,20.5398940961094,-1.989795115008,-1.34479322894221,7,16.6666666666667,0.4,6,1,1,20.8020132588365,20.6408121102827,0.49973082985142,1.4172715708226,7,42.8571428571429,0,0,8,Funvic,RJX,1,2014
39,11,12,0,20.296179013859,21.5247554833781,-1.62183733394244,-1.14535593320305,7,20,0,9,8,0,19.0164053333333,20.0924906666667,-0.523648,-0.664,7,33.3333333333333,0,1,8,America Volei,Maringa,1,2014
40,5,2,0,20.7833389463336,18.9265217830766,1.06416802101729,0.859152307444584,7,60,-1.264,12,10,0,18.7180519672428,21.7132041753567,-2.33283000845435,-1.5977286173655,7,0,0,0,8,Sada Cruzeiro,JF Volei,1,2014
41,2,6,1,19.9580633877691,18.688903752243,0.7717496397824,0.851968493231122,7,85.7142857142857,0,3,3,0,20.2352426666667,20.0487185066667,0.2502272,1.008,7,71.4285714285714,0,1,8,Canoas,Brasil Volei Clube,1,2014
42,7,8,0,19.4997307506505,21.1874547478794,-1.34202139286534,-1.29819444659027,7,42.8571428571429,1.4832,1,3,1,20.6969414311505,18.6817423191626,1.49794432668196,1.04318062114605,7,85.7142857142857,0,1,9,Sao Bernardo,Sesi,1,2014
43,5,2,1,20.8266711570669,17.8078840931279,1.45133441681384,1.28732184595567,3,66.6666666666667,-1.0962816,7,8,0,19.1331179338537,21.1499637983035,-1.63855555727222,-0.446089948338095,2,37.5,0,0,11,Sada Cruzeiro,Sao Bernardo,1,2014
44,11,12,0,19.3869432110872,21.2198043867025,-1.69746986715395,-1.31628474656244,3,16.6666666666667,0,10,12,1,19.0848652810733,19.2319152768875,-0.475834583153768,-0.7638301696,3,28.5714285714286,0,1,11,America Volei,Funvic,1,2014
45,6,1,0,19.4416106070692,20.7793163548928,-0.262535896385376,-0.200215336118864,4,37.5,-1.08,12,10,0,17.6411082404609,21.5705633402853,-2.46626400676348,-1.8781828938924,4,0,0,0,12,RJX,JF Volei,1,2014
46,8,8,1,19.2131242666667,19.2239925333333,-0.176,-0.0189184,4,42.8571428571429,0,2,3,1,20.0381941333333,19.2889748053333,0.60018176,1.2064,4,75,0,1,12,Maringa,Brasil Volei Clube,1,2014
47,1,3,1,20.7575531449204,18.4787271886635,1.21210639137021,1.79835546134557,3,87.5,-1.25216,10,7,0,19.5898685153247,20.1776163688122,-0.463012507253449,0.475849064234878,4,42.8571428571429,0,0,12,Sesi,Volta Redonda,1,2014
48,5,5,1,21.0721815544084,19.484001432747,0.053675717755231,1.21494556785462,4,71.4285714285714,-0.2,3,6,0,19.2164507102153,18.8011230017944,0.281574794584898,0.5736110145536,4,75,0,0,12,Minas,Canoas,1,2014
49,10,7,0,19.0718948122597,20.3420930950498,-1.25035214250334,-0.970410005802759,7,37.5,1.3629184,5,2,1,20.4613369256535,17.7663072745023,1.22985747676453,1.45897624243381,7,71.4285714285714,0,1,19,Volta Redonda,Sada Cruzeiro,1,2014
50,2,3,1,20.2305553066667,18.4978465109333,-0.4144,1.080145408,7,77.7777777777778,0,4,5,1,20.5377452435267,19.1072011461976,1.1719564542837,1.33132588484187,7,75,0,1,19,Brasil Volei Clube,Minas,1,2014
51,7,8,0,18.826494347083,20.7199710386428,-1.67361711429227,-1.51084444581777,7,33.3333333333333,1.5664,6,1,1,19.9032884856554,20.5734530839142,0.239827731104909,0.533817256658081,7,44.4444444444444,0,0,19,Sao Bernardo,RJX,1,2014
52,1,3,1,20.8060425159363,18.1829817509308,1.56968511309617,2.03868436907645,7,88.8888888888889,-1.08256,5,6,0,18.8931605681722,18.7208984014355,0.025259835667918,0.25888881164288,7,66.6666666666667,0,0,19,Sesi,Canoas,1,2014
53,12,10,0,18.0628865923687,21.6064506722283,-2.3413402039112,-2.37301120541079,7,0,0.56,11,12,0,18.9095545688698,21.025843509362,-1.45302779724995,-0.184169174165611,7,14.2857142857143,0,1,19,JF Volei,America Volei,1,2014
54,12,10,0,18.400309273895,21.5851605377826,-2.27307216312896,-2.29840896432863,7,0,1.4112,3,5,1,20.3301961948214,18.8857609169581,1.33756516342696,1.4650607078735,7,77.7777777777778,0,0,30,JF Volei,Minas,1,2014
