Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
2,1,2011,Kedzierzyn-Kozle,Belchatow,22.56689551,23.74338519,21.41046451,19.74593109,4,1,2,1,1,1,0.579038317,2.151652244,0.323648,1.603968,4,2,-0.2,0,61.53846154,92.30769231,0
8,1,2011,Olsztyn,Verva Warszawa,21.68459034,23.5930926,23.64608767,22.85776793,9,5,7,10,1,1,-1.385121659,0.472155584,-1.2574592,-0.3507456,7,7,-0.6,0,21.42857143,57.14285714,1
8,1,2011,Bydgoszcz,Belchatow,22.19815561,23.23470815,22.29485556,19.51674487,6,1,6,1,0,1,-0.151080284,1.921321795,0.5836544,1.4831744,7,6,-0.6,0,50,92.85714286,0
8,1,2011,AZS Czestochowa,Jastrzebski,23.82213492,22.33644658,21.93493652,24.08335551,3,8,5,3,0,0,1.246211376,-1.58807161,1.3672192,-0.7473536,7,7,0.4,0,71.42857143,28.57142857,0
9,1,2011,Kedzierzyn-Kozle,Rzeszow,21.77351641,23.1014468,21.36837161,21.71221668,4,2,2,4,0,0,0.263230654,0.902751639,0.0589184,0.1680128,7,7,-0.2,0,57.14285714,71.42857143,0
10,1,2011,Wielun,Kielce,20.21635908,21.7821183,22.77148619,24.33607958,10,8,8,8,0,0,-1.715860608,-0.485536888,-1.2720768,-0.9414784,7,7,0.4,0,14.28571429,35.71428571,1
14,1,2011,Verva Warszawa,Wielun,23.11447408,21.17308727,22.56621434,22.01718895,5,10,10,8,0,1,0.177724467,-0.772688486,0.8497536,-1.3757184,6,4,0.4,0,53.33333333,20,1
15,1,2011,Rzeszow,AZS Czestochowa,22.88115744,22.41770794,21.60977334,21.82794921,2,3,4,5,1,0,0.922201311,0.796969101,1.4170496,0.8088832,6,7,-0.4,0,73.33333333,66.66666667,1
15,1,2011,Belchatow,Olsztyn,23.98776652,21.62767227,20.3133959,23.15687014,1,9,1,7,1,1,1.937057436,-0.908097327,1.7749248,-1.3609344,7,7,0.6,0,93.33333333,26.66666667,1
15,1,2011,Jastrzebski,Bydgoszcz,22.14915726,22.45852449,22.62668441,23.23588445,7,6,3,6,1,0,-1.070457288,-0.520864227,-1.1712896,-0.8156032,7,7,-0.4,0,33.33333333,46.66666667,0
15,1,2011,Kielce,Kedzierzyn-Kozle,21.22569464,21.65881313,24.46886366,21.49469729,8,5,8,2,0,0,-0.98842951,0.010584523,0.1088256,0.5202304,5,6,-0.2,0,33.33333333,53.33333333,0
17,1,2011,Wielun,Belchatow,20.33846981,24.19021322,22.61375116,20.25071672,10,1,8,1,0,1,-1.218150789,2.149645949,-0.41766144,1.58653952,3,2,-0.6,0,18.75,93.75,0
18,1,2011,Verva Warszawa,Kielce,23.49157927,21.53055571,21.45297147,24.57509093,5,8,10,8,1,0,0.742179574,-1.190743608,1.27980288,-1.35318272,4,3,-0.4,0,56.25,31.25,1
18,1,2011,Olsztyn,Jastrzebski,21.30213782,22.06932581,23.52549611,23.10134753,9,7,7,3,0,0,-1.326477862,-1.25636583,-0.80596736,-0.39788288,3,3,-0.4,0,25,31.25,0
18,1,2011,Bydgoszcz,Rzeszow,22.96681959,23.30492595,22.93870756,20.15448534,6,2,6,4,1,1,-0.016691381,1.337761049,0.06692352,0.33441024,3,3,0.4,0,50,75,0
18,1,2011,AZS Czestochowa,Kedzierzyn-Kozle,20.80083302,22.3270505,22.46235937,21.74575783,3,5,5,2,0,1,0.037575281,0.408467618,0.89377536,0.81618432,3,3,0.2,0,62.5,56.25,0
26,1,2011,Rzeszow,Olsztyn,23.49394076,21.52171026,20.47358827,23.06039689,2,9,4,7,1,0,1.470208839,-1.261182289,1.73363968,-1.68874752,7,7,0.6,0,76.47058824,23.52941176,1
26,1,2011,Kielce,AZS Czestochowa,21.50444457,20.10733308,23.74007274,22.9698875,8,4,8,5,0,0,-1.152594887,-0.569939775,-0.31293952,0.04710656,7,7,-0.6,0,29.41176471,58.82352941,0
26,1,2011,Kedzierzyn-Kozle,Bydgoszcz,22.8616404,22.72345567,20.86327293,23.20096605,4,6,2,6,1,0,0.926774095,-0.413353105,-0.15286528,-0.25248256,7,7,0.2,0,58.82352941,47.05882353,1
26,1,2011,Jastrzebski,Wielun,21.89546065,20.15077585,22.96107802,22.41100093,7,10,3,8,1,0,-0.805092664,-1.174520631,-1.33703168,-1.70057472,7,7,0.6,0,35.29411765,17.64705882,0
26,1,2011,Belchatow,Verva Warszawa,23.67217057,22.87326341,20.08057338,21.44237718,1,5,1,10,1,1,1.919716759,0.793743659,2.01993984,-0.48059648,7,7,0.6,0,94.11764706,58.82352941,1
29,1,2011,Rzeszow,Verva Warszawa,23.92848594,22.04861073,20.51220395,22.00390174,2,5,4,10,1,0,1.776167071,0.234994927,1.986911744,-0.784477184,3,3,0.24,0,77.77777778,55.55555556,1
