,Date,month,year,home_team,away_team,home_team_av_points,away_team_av_points,home_team_av_points_conceded,away_team_av_points_conceded,home_current_pos,away_current_pos,home_last_yr_pos,away_last_yr_pos,home_prev_game_perf,away_prev_game_perf,home_team_form,away_team_form,home_team_home_form,away_team_away_form,home_team_rest_time,away_team_rest_time,h2h_form,match_importance,home_win_percentage,away_win_percentage,result
51,14,1,2012,Verva Warszawa,Jastrzebski,21.6728978432,22.64559271253334,22.073713390933335,21.028723609600007,8,5,5,7,0,1,-0.1579492352000001,0.9890044928000001,-0.05663999999999991,0.15136000000000005,7,7,-0.4,0,30.0,70.0,0
52,14,1,2012,Rzeszow,Kielce,22.97043524266667,21.764200755200008,20.561490773333336,22.572976947200004,4,7,2,8,1,0,0.7370185728000002,-0.6289820672,0.8121600000000001,0.4592000000000001,7,7,0.6000000000000001,0,70.0,30.0,1
53,15,1,2012,Kedzierzyn-Kozle,Belchatow,24.428131976533336,23.46051375786667,22.633826611200007,19.855791342933337,2,1,3,1,1,1,1.1291548672000007,1.6760343552,1.0326400000000004,0.7094400000000001,7,7,0.6000000000000001,0,80.0,80.0,0
54,16,1,2012,AZS Czestochowa,Olsztyn,20.90910624426667,20.358561280000004,23.63834159786667,23.960469504000002,6,9,4,10,0,0,-1.1456949248000003,-1.2964420608,-0.11936000000000001,-1.3769600000000004,7,7,-0.6000000000000001,0,30.0,30.0,1
55,28,1,2012,Gdansk,Kedzierzyn-Kozle,20.778822983680005,24.49250558122667,23.767140700160006,23.307061288960007,10,2,10,3,0,0,-1.8844566937600007,0.5033238937600005,-0.5270400000000002,0.9865600000000001,7,7,-0.4,0,18.181818181818183,72.72727272727273,0
56,28,1,2012,Olsztyn,Verva Warszawa,20.136849024000004,21.498318274560003,24.1183756032,21.898970712746667,9,8,10,5,0,0,-1.4371536486400003,-0.3263593881600001,-0.5206400000000001,-0.48544000000000015,7,7,0.4,0,27.27272727272727,27.27272727272727,0
57,29,1,2012,Belchatow,Rzeszow,23.968411006293337,23.77634819413334,20.83463307434667,20.982525952000003,1,3,1,2,1,1,1.74082748416,1.1896148582400001,1.4230400000000003,0.34656000000000003,7,7,-0.2,0,81.81818181818183,72.72727272727273,1
58,29,1,2012,Jastrzebski,Bydgoszcz,22.356474170026672,22.707835446613338,20.982978887680005,21.33651856042667,4,5,7,6,1,1,0.9912035942400002,0.7672440217600001,1.0326400000000002,0.313792,7,7,0.2,0,72.72727272727273,63.63636363636363,0
59,30,1,2012,Kielce,AZS Czestochowa,21.94469393749334,21.677284995413338,23.458381557760006,22.76067327829334,8,6,8,4,0,1,-1.1031856537600002,-0.5165559398400003,-0.9873280000000002,-1.2745600000000001,7,7,0.6000000000000001,0,27.27272727272727,36.36363636363637,0
60,3,2,2012,Verva Warszawa,Kielce,22.198654619648003,22.455755149994673,21.05250990353067,23.516705246208005,7,8,5,8,1,0,0.338912489472,-1.2825485230080003,-0.24531199999999995,-0.23263999999999996,6,4,0.2,0,33.33333333333333,25.0,1
61,4,2,2012,Rzeszow,Kedzierzyn-Kozle,22.954411888640006,24.59400446498134,22.05268742826667,22.645649031168006,3,2,2,3,0,1,0.351691886592,1.0026591150080004,1.2497280000000002,1.3892480000000003,6,7,-0.6000000000000001,0,66.66666666666666,75.0,1
62,4,2,2012,Jastrzebski,Gdansk,22.36517933602134,20.623058386944006,21.106383110144005,24.013712560128006,5,10,7,10,0,0,0.5929628753920002,-2.107565355008001,0.6261120000000002,-2.1316480000000007,6,7,0.6000000000000001,0,66.66666666666666,16.666666666666664,1
63,4,2,2012,Bydgoszcz,Olsztyn,22.486268357290673,19.64281255253334,21.549214848341336,24.294700482560003,5,9,6,10,1,0,0.8137952174080001,-1.7497229189120003,0.5673600000000001,-1.5015680000000002,6,7,0.2,0,66.66666666666666,25.0,1
64,5,2,2012,AZS Czestochowa,Belchatow,22.09182799633067,24.441395471701338,23.108538622634676,20.60103979281067,6,1,4,1,1,1,-0.013244751872000193,1.9926619873280003,0.304512,0.9675520000000001,6,7,-0.4,0,41.66666666666667,83.33333333333334,0
65,10,2,2012,Bydgoszcz,Kielce,22.98901468583254,22.164604119995737,19.7727052120064,23.053364196966406,4,8,6,8,1,0,1.2510361739264002,-1.2260388184064002,1.0538880000000002,-0.386112,6,7,0.4,0,69.23076923076923,23.076923076923077,1
66,11,2,2012,Olsztyn,Jastrzebski,18.247583375360005,22.958810135483738,24.435760386048003,20.951773154781872,9,5,10,7,0,1,-1.9997783351296003,1.0743703003136003,-1.016512,0.32108800000000004,7,7,-0.4,0,23.076923076923077,69.23076923076923,0
67,11,2,2012,Belchatow,Verva Warszawa,24.686449710694404,21.998923695718403,20.747498500915203,21.042007922824535,1,7,1,5,1,1,2.1941295898624005,0.4711299915776,1.7384320000000004,0.21164799999999995,6,7,0.2,0,84.61538461538461,38.46153846153847,1
68,11,2,2012,Kedzierzyn-Kozle,AZS Czestochowa,23.725203571985073,21.940129063731202,23.116519224934404,23.620164231441073,4,6,3,4,0,0,0.4021272920064004,-0.6105958014976003,0.4261120000000004,-0.6196480000000001,7,6,0.4,0,69.23076923076923,38.46153846153847,1
69,11,2,2012,Gdansk,Rzeszow,20.565113376221873,23.363529510912006,24.277636714769073,21.692149942613337,10,5,10,2,0,1,-2.286052284006401,0.6813535092736,-1.0216320000000003,-0.32275200000000004,7,7,-0.6000000000000001,0,15.384615384615385,69.23076923076923,0
70,15,2,2012,Olsztyn,Gdansk,18.998066700288007,20.8020907009775,24.198608308838402,24.02210937181526,9,10,10,10,0,0,-1.9998226681036804,-2.228841827205121,-1.2132096,-2.305318400000001,4,4,-0.6000000000000001,0,21.428571428571427,14.285714285714285,0
71,15,2,2012,Jastrzebski,Kielce,23.017048108386994,21.665016629329923,21.161418523825496,23.442691357573125,5,8,7,8,1,0,1.2594962402508803,-1.5808310547251203,1.1008896000000004,-0.9088896000000002,4,5,-0.4,0,71.42857142857143,21.428571428571427,0
72,15,2,2012,Bydgoszcz,Belchatow,23.391211748666034,24.149159768555528,19.751497502938456,20.757998800732164,4,1,6,1,1,1,1.6008289391411203,1.9553036718899204,1.4431104000000001,1.3740416000000002,5,4,-0.6000000000000001,0,71.42857142857143,85.71428571428571,0
73,15,2,2012,Verva Warszawa,Kedzierzyn-Kozle,21.759138956574724,24.446829524254724,21.233606338259627,23.42654871328086,7,2,5,3,0,1,0.17690399326208,0.9217018336051204,0.0037504000000000426,0.7113984000000003,4,4,-0.6000000000000001,0,35.714285714285715,71.42857142857143,0
74,15,2,2012,AZS Czestochowa,Rzeszow,22.485436584318297,23.290823608729607,24.362798051819524,21.703719954090673,6,3,4,2,0,1,-1.0884766411980804,0.9450828074188801,-0.3563904000000001,0.1417984,4,4,0.4,0,35.714285714285715,71.42857142857143,0
75,18,2,2012,Belchatow,Jastrzebski,24.85266114817776,22.453638486709597,20.873065707252398,21.289134819060397,1,5,1,7,1,0,2.1642429375119363,0.8075969922007042,1.5907456000000004,0.6568704000000001,3,3,0.4,0,86.66666666666667,66.66666666666666,1
76,18,2,2012,Gdansk,AZS Czestochowa,21.441672560782003,21.455015934121306,23.51768749745221,24.49023844145562,10,6,10,4,1,0,-1.3830734617640967,-1.4707813129584646,-1.2173056000000004,-1.0957184000000002,3,3,-0.6000000000000001,0,20.0,33.33333333333333,0
77,18,2,2012,Kedzierzyn-Kozle,Bydgoszcz,24.55746361940378,22.979636065599493,22.34123897062469,21.3345313356841,2,4,3,6,1,0,1.3373614668840963,0.6806631513128962,0.9408896000000004,0.45103360000000003,3,3,0.4,0,73.33333333333333,66.66666666666666,1
78,19,2,2012,Rzeszow,Verva Warszawa,23.632658886983688,21.007311165259782,20.829642629939208,21.986885070607702,3,7,2,5,1,0,1.356066245935104,-0.4584768053903361,1.3997824000000003,-0.03068160000000003,4,4,0.2,0,73.33333333333333,33.33333333333333,1
79,20,2,2012,Kielce,Olsztyn,21.692013303463938,19.498453360230407,22.7941530860585,24.158886647070723,8,9,8,10,1,0,-1.0646648437800963,-1.9998581344829445,-1.1898624000000002,-1.8012544000000004,5,5,0.6000000000000001,0,26.666666666666668,20.0,1
80,24,2,2012,Bydgoszcz,Rzeszow,22.423708852479596,23.90612710958695,21.187625068547284,20.530380770618034,4,3,6,2,0,1,0.34453052105031695,1.6848529967480834,0.5544883200000001,0.7134387200000001,6,5,-0.4,0,62.5,75.0,1
81,25,2,2012,Olsztyn,Belchatow,19.898762688184327,24.882128918542207,24.277109317656578,20.83178589913525,9,1,10,1,0,1,-1.9998865075863557,2.3313943500095493,-1.3705676800000002,1.6992332800000003,5,7,-0.6000000000000001,0,18.75,87.5,0
