,Date,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance,month,result,year
72,8,8,3,0,Jastrzebski,22.336446579070298,24.08335551255894,-0.7473536000000001,-1.5880716096307204,7,28.57142857142857,0.4,3,5,0,AZS Czestochowa,23.82213492156553,21.934936516810076,1.2462113760870408,1.3672192000000003,7,71.42857142857143,0,1,0,2011
73,9,2,4,0,Rzeszow,23.101446795337736,21.712216681242634,0.16801280000000007,0.9027516389785605,7,71.42857142857143,-0.2,4,2,0,Kedzierzyn-Kozle,21.77351640869547,21.368371611019953,0.26323065356288017,0.05891840000000015,7,57.14285714285714,0,1,0,2011
74,10,8,11,0,Kielce,21.78211829601622,24.336079576883208,-0.9414784000000005,-0.48553688793088023,7,35.714285714285715,0.4,10,8,0,Wielun,20.216359082055007,22.771486189300397,-1.7158606076313603,-1.2720768000000002,7,14.285714285714285,0,1,1,2011
75,14,10,8,1,Wielun,21.173087265644007,22.017188951440318,-1.3757184000000002,-0.7726884861050882,4,20.0,0.4,5,10,0,Verva Warszawa,23.11447408264261,22.566214342202716,0.17772446701977612,0.8497536000000001,6,53.333333333333336,0,1,1,2011
76,15,3,5,0,AZS Czestochowa,22.417707937252427,21.82794921344806,0.8088832000000005,0.7969691008696327,7,66.66666666666666,-0.4,2,4,1,Rzeszow,22.881157436270193,21.60977334499411,0.9222013111828484,1.4170496000000001,6,73.33333333333333,0,1,1,2011
77,15,9,7,1,Olsztyn,21.627672273802588,23.156870136266754,-1.3609344000000005,-0.9080973270384645,7,26.666666666666668,0.6000000000000001,1,1,1,Belchatow,23.9877665232978,20.31339589968965,1.9370574360739843,1.7749248000000004,7,93.33333333333333,0,1,1,2011
78,15,6,6,0,Bydgoszcz,22.45852448580458,23.23588444999517,-0.8156032000000002,-0.5208642268037121,7,46.666666666666664,-0.4,7,3,1,Jastrzebski,22.14915726325624,22.62668441004715,-1.0704572877045764,-1.1712896000000002,7,33.33333333333333,0,1,0,2011
79,15,5,2,0,Kedzierzyn-Kozle,21.658813126956375,21.494697288815964,0.5202304000000002,0.010584522850304146,6,53.333333333333336,-0.2,8,11,0,Kielce,21.225694636812975,24.468863661506568,-0.9884295103447043,0.10882560000000008,5,33.33333333333333,0,1,0,2011
80,17,1,1,1,Belchatow,24.19021321863824,20.25071671975172,1.5865395200000005,2.1496459488591877,2,93.75,-0.6000000000000001,10,8,0,Wielun,20.338469812515207,22.613751161152255,-1.2181507888840706,-0.41766144000000005,3,18.75,0,1,0,2011
81,18,8,11,0,Kielce,21.530555709450383,24.575090929205256,-1.3531827200000004,-1.1907436082757634,3,31.25,-0.4,5,10,1,Verva Warszawa,23.491579266114087,21.452971473762176,0.742179573615821,1.27980288,4,56.25,0,1,1,2011
82,18,7,3,0,Jastrzebski,22.069325810604994,23.10134752803772,-0.3978828800000001,-1.256365830163661,3,31.25,-0.4,9,7,0,Olsztyn,21.30213781904207,23.525496109013403,-1.3264778616307717,-0.8059673600000004,3,25.0,0,1,0,2011
83,18,2,4,1,Rzeszow,23.304925949016155,20.154485342661957,0.3344102400000001,1.337761048946279,3,75.0,0.4,6,6,1,Bydgoszcz,22.966819588643666,22.938707559996136,-0.01669138144296972,0.06692352000000013,3,50.0,0,1,0,2011
84,18,5,2,1,Kedzierzyn-Kozle,22.3270505015651,21.74575783105277,0.8161843200000002,0.40846761828024336,3,56.25,0.2,3,5,0,AZS Czestochowa,20.80083301646861,22.46235937075845,0.03757528069570615,0.8937753600000002,3,62.5,0,1,0,2011
85,26,9,7,0,Olsztyn,21.521710255233657,23.06039688721072,-1.6887475200000006,-1.2611822893046174,7,23.52941176470588,0.6000000000000001,2,4,1,Rzeszow,23.493940759212926,20.47358827412957,1.4702088391570234,1.7336396800000002,7,76.47058823529412,0,1,1,2011
86,26,4,5,0,AZS Czestochowa,20.107333079841553,22.96988749660676,0.04710656000000035,-0.5699397754434352,7,58.82352941176471,-0.6000000000000001,8,11,0,Kielce,21.50444456756031,23.74007274336421,-1.1525948866206108,-0.31293951999999997,7,29.411764705882355,0,1,0,2011
87,26,6,6,0,Bydgoszcz,22.723455670914934,23.20096604799691,-0.25248256000000013,-0.4133531051543758,7,47.05882352941176,0.2,4,2,1,Kedzierzyn-Kozle,22.86164040125208,20.86327293150888,0.9267740946241948,-0.15286527999999988,7,58.82352941176471,0,1,1,2011
88,26,10,8,0,Wielun,20.150775850012167,22.411000928921805,-1.7005747200000003,-1.1745206311072565,7,17.647058823529413,0.6000000000000001,7,3,1,Jastrzebski,21.895460648483997,22.96107802243018,-0.8050926641309291,-1.3370316800000002,7,35.294117647058826,0,1,0,2011
89,26,5,10,1,Verva Warszawa,22.87326341289127,21.442377179009743,-0.48059648,0.7937436588926567,7,58.82352941176471,0.6000000000000001,1,1,1,Belchatow,23.672170574910595,20.080573375801375,1.9197167590873503,2.0199398400000006,7,94.11764705882352,0,1,1,2011
90,29,5,10,0,Verva Warszawa,22.048610730313015,22.003901743207795,-0.784477184,0.2349949271141254,3,55.55555555555556,0.24,2,4,1,Rzeszow,23.928485940703673,20.512203952636987,1.7761670713256188,1.9869117440000004,3,77.77777777777779,0,1,1,2011
91,29,6,6,0,Bydgoszcz,21.91209787006528,23.56077283839753,-0.8019860480000002,-0.9306824841235007,3,44.44444444444444,0.8800000000000001,1,1,1,Belchatow,23.787736459928478,19.8144587006411,1.9357734072698802,2.0159518720000005,3,94.44444444444444,0,1,1,2011
92,29,9,8,1,Wielun,20.870620680009733,22.228800743137445,-0.9604597760000003,-0.5396165048858051,3,22.22222222222222,-0.9200000000000002,8,11,0,Kielce,21.443555654048247,23.152058194691367,-1.1220759092964887,-0.450351616,3,27.77777777777778,0,1,0,2011
93,29,10,7,0,Olsztyn,21.35070153752026,23.58165084310191,-1.9509980160000007,-1.608945831443694,3,22.22222222222222,0.52,7,3,0,Jastrzebski,21.8163685187872,23.118862417944143,-1.0440741313047432,-1.4696253440000002,3,33.33333333333333,0,1,1,2011
94,30,4,5,1,AZS Czestochowa,20.24586646387324,22.615909997285407,0.2376852480000003,-0.25595182035474817,4,61.111111111111114,0.44000000000000006,3,2,1,Kedzierzyn-Kozle,23.289312321001667,20.42395167854044,1.341419275699356,0.4777077760000002,4,61.111111111111114,0,1,0,2011
95,4,3,5,1,AZS Czestochowa,20.946693171098595,22.342727997828327,0.5901481984000003,0.19523854371620147,5,63.1578947368421,-0.44000000000000006,6,6,0,Bydgoszcz,21.59634496271889,23.848618270718024,-1.3445459872988006,-0.3464611839999999,6,42.10526315789473,0,2,0,2011
96,5,2,4,1,Rzeszow,24.19278875256294,20.55976316210959,0.667528192,1.820933657060495,7,78.94736842105263,0.07999999999999996,1,1,1,Belchatow,24.030189167942783,19.918233627179546,2.148618725815904,2.2127614976000007,7,94.73684210526315,0,2,1,2011
97,5,8,11,0,Kielce,21.354844523238597,22.921646555753092,-1.2825461760000003,-1.097660727437191,7,26.31578947368421,0.08000000000000007,7,3,1,Jastrzebski,21.733094815029762,22.375089934355316,-0.6352593050437947,-0.9757002752000004,7,36.84210526315789,0,2,0,2011
98,6,4,2,0,Kedzierzyn-Kozle,22.881449856801336,21.08916134283235,1.2529474560000002,0.6731354205594847,7,57.89473684210527,0.07999999999999996,5,10,0,Verva Warszawa,21.788888584250415,22.653121394566238,-0.2120040583086997,1.2238423040000002,7,52.63157894736842,0,2,0,2011
99,7,9,8,1,Wielun,21.096496544007785,21.983040594509955,-0.5683678208000003,-0.23169320390864412,7,26.31578947368421,0.52,10,7,0,Olsztyn,20.960561230016207,23.145320674481532,-1.4871566651549553,-0.8447738880000004,7,21.052631578947366,0,2,0,2011
100,11,5,10,0,Verva Warszawa,21.911110867400332,22.28249711565299,-1.0275817472000002,-0.36960324664695976,5,50.0,0.7200000000000001,3,5,1,AZS Czestochowa,21.357354536878876,22.474182398262663,0.3561908349729612,0.11502028800000019,7,65.0,0,2,1,2011
101,12,1,1,1,Belchatow,24.22415133435423,20.067920235076972,1.4692316160000005,2.3188949806527237,7,95.0,-0.36000000000000004,4,2,1,Kedzierzyn-Kozle,22.465159885441068,21.351329074265884,0.7385083364475877,-0.017833779199999844,6,60.0,0,2,0,2011
102,12,6,6,0,Bydgoszcz,21.877075970175117,23.67889461657442,-1.2415888384000002,-1.2756367898390404,7,40.0,0.07999999999999996,2,4,0,Rzeszow,23.487564335383688,21.447810529687672,0.8567469256483959,1.9895293952000004,7,75.0,0,2,1,2011
103,12,7,3,0,Jastrzebski,21.58647585202381,21.860071947484254,-0.11830630400000008,-0.7082074440350359,7,35.0,-0.08000000000000007,9,8,1,Wielun,21.437197235206227,21.946432475607963,0.0146454368730847,-0.534129152,5,30.0,0,2,0,2011
