,away_current_pos,away_last_yr_pos,away_prev_game_perf,away_team_av_points,away_team_av_points_conceded,away_team_away_form,away_team_form,away_team_rest_time,away_win_percentage,h2h_form,home_current_pos,home_last_yr_pos,home_prev_game_perf,home_team_av_points,home_team_av_points_conceded,home_team_form,home_team_home_form,home_team_rest_time,home_win_percentage,match_importance
122,5,2,1,23.298550075241817,22.168301353530715,0,0.4,3,73.33333333333333,-0.6000000000000001,6,9,1,22.82590037788809,22.053563413233668,0.6000000000000001,1.2630656000000002,7,60.0,0
123,1,5,1,23.862024987319387,20.760370628071048,0,0.7200000000000001,4,94.11764705882352,-0.4,7,8,1,22.257484131199448,21.416028022253823,0.6000000000000001,-0.20866559999999978,3,52.94117647058824,0
124,5,4,1,23.16332814114991,21.31109709521093,0,0.07999999999999996,4,64.70588235294117,0.6000000000000001,3,3,0,23.89672777895161,21.24573310378109,-0.4,2.1341056000000007,3,82.35294117647058,0
125,8,10,0,22.13385531601628,22.755506769918952,0,-0.2675584,4,47.05882352941176,0.2,3,1,1,24.34043144359423,20.12806268897461,0.6000000000000001,1.1641308160000003,6,88.23529411764706,0
126,9,10,0,22.14796795896945,23.092000204150107,0,-0.4,5,43.75,-0.2,14,12,0,20.51274371474555,24.583161721498833,-1.2640000000000002,-2.03761152,7,6.25,0
127,12,12,1,21.471064510660614,22.925196725998937,0,0.19679999999999997,5,31.25,0.2,4,2,1,23.638840060193456,21.201307749491242,0.6000000000000001,1.4311475200000006,4,75.0,0
128,10,8,1,22.545507541710172,21.81129609185548,0,-0.14400000000000013,4,41.17647058823529,-0.6000000000000001,13,11,0,22.27261432293404,24.701810300649477,-0.6000000000000001,-1.2791475200000002,5,25.0,0
129,15,99,0,20.597796738799595,24.077925174547367,0,-0.4,5,0.0,0.2,6,9,0,21.727386968977136,22.642850730586936,-0.12,0.41045248000000023,4,56.25,0
130,1,5,1,23.989619989855512,21.008296502456837,0,0.4,2,94.44444444444444,-0.2,3,3,1,24.01738222316129,21.096586483024875,0.07999999999999996,2.1072844800000006,2,83.33333333333334,0
131,15,99,0,20.678237391039676,24.262340139637896,0,-0.6000000000000001,1,0.0,0.4,14,12,1,21.11019497179644,24.26652937719907,-0.6112000000000003,-1.230089216,1,11.76470588235294,0
